date,open,high,low,close,volume,return,ma_10,ma_30,volatility,price_range,target
2015-02-13 00:00:00+00:00,127.28,127.28,125.65,127.08,54272219,0.004902736043017608,121.58699999999999,114.28999999999999,0.00926009450545282,1.6299999999999955,1
2015-02-17 00:00:00+00:00,127.49,128.88,126.92,127.83,63152405,0.005901794145420247,122.50700000000002,114.90666666666668,0.009151206981641149,1.9599999999999937,1
2015-02-18 00:00:00+00:00,127.625,128.78,127.45,128.715,44891737,0.006923257451302511,123.5135,115.6555,0.00878923291890261,1.3299999999999983,0
2015-02-19 00:00:00+00:00,128.48,129.03,128.33,128.45,37362381,-0.0020588121042615093,124.4025,116.39516666666667,0.009374596070017303,0.6999999999999886,1
2015-02-20 00:00:00+00:00,128.62,129.5,128.05,129.495,48948419,0.008135461268976352,125.35799999999999,117.11999999999999,0.009266565361689811,1.4499999999999886,1
2015-02-23 00:00:00+00:00,130.02,133.0,129.66,133.0,70974110,0.027066682111278384,126.76499999999999,117.82366666666667,0.00918779552026436,3.3400000000000034,0
2015-02-24 00:00:00+00:00,132.94,133.6,131.17,132.17,69228130,-0.006240601503759491,128.01,118.49566666666666,0.010690857093809713,2.430000000000007,0
2015-02-25 00:00:00+00:00,131.56,131.6,128.15,128.79,74711746,-0.025573125520163442,128.68699999999998,119.14699999999999,0.014937196642663691,3.4499999999999886,1
2015-02-26 00:00:00+00:00,128.785,130.87,126.61,130.415,91287529,0.012617439242177175,129.2405,119.82016666666667,0.013846570151615242,4.260000000000005,0
2015-02-27 00:00:00+00:00,130.0,130.57,128.24,128.46,62014847,-0.014990606908714343,129.4405,120.44216666666667,0.01475293114812771,2.329999999999984,1
2015-03-02 00:00:00+00:00,129.25,130.28,128.3,129.09,48096663,0.004904250350303618,129.6415,121.1845,0.01475296804302159,1.9799999999999898,1
2015-03-03 00:00:00+00:00,128.96,129.52,128.09,129.36,37816283,0.002091564025098913,129.7945,121.9635,0.014680514583746149,1.4300000000000068,0
2015-03-04 00:00:00+00:00,129.1,129.56,128.32,128.54,31666340,-0.006338899196042247,129.777,122.62416666666667,0.014713828141787084,1.240000000000009,0
2015-03-05 00:00:00+00:00,128.58,128.75,125.76,126.41,56517146,-0.016570717286447767,129.573,123.18616666666667,0.015622771384794959,2.989999999999995,1
2015-03-06 00:00:00+00:00,128.4,129.37,126.26,126.6,72842060,0.0015030456451230467,129.2835,123.65950000000001,0.01530631937190989,3.1099999999999994,1
2015-03-09 00:00:00+00:00,127.96,129.57,125.06,127.14,88528487,0.004265402843601995,128.69750000000002,124.1315,0.011756617683070226,4.509999999999991,0
2015-03-10 00:00:00+00:00,126.41,127.22,123.8,124.51,68856582,-0.020685858109171007,127.9315,124.51183333333333,0.01284080937356527,3.4200000000000017,0
2015-03-11 00:00:00+00:00,124.75,124.77,122.11,122.24,68938974,-0.01823146735201997,127.27650000000001,124.9485,0.011753458103882354,2.6599999999999966,1
2015-03-12 00:00:00+00:00,122.31,124.9,121.63,124.45,48362719,0.018079188481675557,126.67999999999999,125.25316666666666,0.012754755751908316,3.2700000000000102,0
2015-03-13 00:00:00+00:00,124.4,125.3951,122.58,123.59,51827283,-0.006910405785455986,126.19300000000001,125.4095,0.012269911649999288,2.815100000000001,1
2015-03-16 00:00:00+00:00,123.88,124.95,122.87,124.95,35874300,0.011004126547455195,125.77900000000002,125.66916666666667,0.012886273847324685,2.0799999999999983,1
2015-03-17 00:00:00+00:00,125.9,127.32,125.65,127.04,51023104,0.01672669067627064,125.547,125.9495,0.014304448543287746,1.6699999999999875,1
2015-03-18 00:00:00+00:00,127.0,129.16,126.37,128.47,65270945,0.01125629722921917,125.54,126.27683333333333,0.01474788702061878,2.789999999999992,0
2015-03-19 00:00:00+00:00,128.75,129.2451,127.4,127.495,45809490,-0.007589320463921467,125.64849999999998,126.54133333333333,0.01387107456826912,1.8451000000000022,0
2015-03-20 00:00:00+00:00,128.25,128.4,125.16,125.9,68695136,-0.01251029452135377,125.5785,126.74,0.014501593880122543,3.240000000000009,1
